予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数
0,0,2025,7,14,19,7,3.0,2,3508,53,55,B1,4.92,24.0,36.21,27.2,4.0,2.0,1.0
0,0,2025,7,14,19,7,4.0,3,4511,36,56,B2,4.02,35.29,36.21,16.6,3.8,0.0,1.0
0,0,2025,7,14,19,7,6.0,4,4374,41,50,B1,4.74,39.22,27.59,14.2,2.9,1.0,1.0
0,1,2025,7,14,19,7,2.0,5,4513,36,54,A2,5.4,37.7,32.79,20.0,4.0,1.0,3.0
0,0,2025,7,14,19,7,5.0,6,4239,41,55,A1,6.07,36.07,25.53,0.0,4.4,0.0,0.0
1,1,2025,7,14,19,8,1.0,1,4691,42,50,B1,4.6,30.61,22.22,58.8,2.1,9.0,1.0
0,1,2025,7,14,19,8,2.0,2,5238,25,54,B1,5.38,50.0,25.0,47.0,3.8,2.0,6.0
0,0,2025,7,14,19,8,3.0,3,4917,36,52,B1,4.56,31.03,31.15,20.0,3.8,1.0,2.0
0,0,2025,7,14,19,8,4.0,4,4966,27,55,A2,5.41,28.3,19.23,33.3,2.7,2.0,5.0
0,0,2025,7,14,19,8,5.0,5,5288,25,53,B1,2.86,35.48,12.73,10.0,4.6,0.0,1.0
0,0,2025,7,14,19,8,6.0,6,5369,23,51,B2,1.96,22.64,41.07,3.2,4.1,0.0,2.0
1,1,2025,7,14,19,9,1.0,1,4331,41,56,B1,5.64,38.33,28.3,68.1,2.3,11.0,4.0
0,0,2025,7,14,19,9,5.0,2,3458,58,54,B1,3.72,29.31,41.38,9.0,3.4,1.0,0.0
0,1,2025,7,14,19,9,2.0,3,3742,50,52,B1,3.9,30.51,25.0,35.2,3.1,1.0,5.0
0,0,2025,7,14,19,9,6.0,4,4564,37,54,B1,4.34,36.51,24.49,30.7,2.9,1.0,3.0
0,0,2025,7,14,19,9,3.0,5,4383,40,52,A2,5.6,34.62,33.9,4.7,3.3,0.0,1.0
0,0,2025,7,14,19,9,4.0,6,4652,39,50,A2,6.24,32.08,31.67,29.6,3.1,2.0,6.0
1,0,2025,7,14,19,10,3.0,1,3627,55,52,B1,5.64,39.68,30.36,83.3,2.0,12.0,3.0
0,1,2025,7,14,19,10,2.0,2,5081,26,52,A2,5.43,37.93,38.18,38.4,4.3,2.0,3.0
1,0,2025,7,14,19,10,6.0,3,4052,44,51,A1,6.4,43.86,17.31,66.6,3.3,4.0,6.0
0,1,2025,7,14,19,10,1.0,4,4163,43,52,A2,5.69,36.84,43.86,18.1,3.7,1.0,3.0
0,0,2025,7,14,19,10,4.0,5,4682,34,53,A1,7.01,33.93,39.34,38.8,3.3,4.0,3.0
0,0,2025,7,14,19,10,5.0,6,3701,52,58,B1,3.8,22.92,30.36,0.0,2.7,0.0,0.0
1,1,2025,7,14,19,11,1.0,1,4239,41,55,A1,6.07,36.07,25.53,89.2,3.0,23.0,2.0
1,1,2025,7,14,19,11,2.0,2,4949,32,50,A1,6.62,36.21,23.4,63.1,3.2,4.0,8.0
0,0,2025,7,14,19,11,6.0,3,3731,51,53,A2,5.15,32.73,47.17,36.3,3.2,6.0,2.0
0,0,2025,7,14,19,11,4.0,4,5000,30,51,B1,4.76,40.98,42.62,5.5,2.9,1.0,0.0
0,0,2025,7,14,19,11,3.0,5,4762,35,50,A1,7.57,26.79,25.81,40.0,2.5,3.0,5.0
0,0,2025,7,14,19,11,5.0,6,4295,38,54,A1,7.02,24.53,26.67,21.0,2.7,1.0,3.0
1,1,2025,7,14,19,12,1.0,1,4547,37,52,A1,7.28,28.07,20.93,85.0,2.9,15.0,2.0
1,0,2025,7,14,19,12,6.0,2,3711,50,52,A2,5.53,32.0,39.29,56.5,3.2,6.0,7.0
1,0,2025,7,14,19,12,4.0,3,5058,28,50,A1,6.99,39.62,35.0,61.5,3.2,2.0,6.0
0,1,2025,7,14,19,12,2.0,4,4624,40,49,A2,6.0,34.48,40.35,43.7,3.9,5.0,2.0
0,0,2025,7,14,19,12,3.0,5,5221,24,54,A1,6.6,24.0,25.93,43.7,3.2,4.0,3.0
0,0,2025,7,14,19,12,5.0,6,4344,40,54,A1,8.21,29.51,28.57,23.0,3.2,2.0,1.0
1,1,2025,7,14,18,1,1.0,1,3661,55,58,A2,5.0,37.5,33.54,60.0,3.6,8.0,4.0
0,1,2025,7,14,18,1,2.0,2,5241,25,49,B1,4.61,23.64,31.25,42.1,2.5,3.0,5.0
